旅館名稱,最低房價,最高房價,地址,圖片連結,城市,網站,電話
南國海岸渡假特色民宿,5600,10400,"No.8, Duzaiping Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/45462.jpg?v=20250516,琉球鄉,,886-8-8613830
旅聚居青年旅舍,3500,6000,"6F., No.117, Zhongshan 1st Rd., Xinxing Dist., Kaohsiung City 800, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/256842.JPG?v=20250516,新興區,,886-7-2851231
瑚岩美術館民宿,4200,4200,"No.23, Zhongshan Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/6677.png?v=20250516,琉球鄉,http://www.corail23.com/,886-8-8611092
風歌小棧民宿,5500,8800,"No.27, Neipu Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",,埔里鎮,,886-49-2981098
稻香亭民宿,1500,2500,"No.11, Jintian Ln., Yuchi Township, Nantou County 555, Taiwan (R.O.C.)",,魚池鄉,,886-49-2896915
阿里巴巴運動休閒民宿,3000,5000,"No.132, Zhongshun St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/296451.jpeg?v=20250516,花蓮市,http://www.albb.com,886-3-8339715
悠趣旅店,10000,15000,"12F., No.219, Sec. 2, Chang’an E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",,松山區,,886-2-27752277
台灣精緻商旅,4500,7000,"No.189, Zhonghua 3rd Rd., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/261209.jpg?v=20250516,前金區,,886-7-2166868
樂活民宿,4200,4800,"No.61, Wenchang St., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/37217.jpg?v=20250516,台東市,http://www.lohasbnb.com,886-89-233203
倆呆民宿,3000,3600,"No.21, Pinghe St., Shoufeng Township, Hualien County 974, Taiwan (R.O.C.)",,壽豐鄉,,886-3-8656858
塔羅之昕民宿,3200,3200,"No.173, Zhongzheng Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/3025.jpg?v=20250516,台東市,,886-938-253698
喬爵旅居,7000,15000,"No.216, Yen-pin Rd, Chung Li Dist, Taoyuan City, Taiwan, R.O.C.",https://taiwan.taiwanstay.net.tw/twpic/113403.jpg?v=20250516,中壢區,https://www.hubhotel.com.tw,886-3-4622345
月光莊園民宿,3600,5800,"No.126, Ln. 731, Gengsheng N. Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/278749.jpeg?v=20250516,台東市,,886-980-439179
美堤時尚旅店,2400,2400,"No.7&9, Jianxing Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/24351.jpg?v=20250516,中壢區,,886-3-4282929
瑪拉松民宿,4500,5500,"No.27, Ln. 398, Sec. 3, Zhiben Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/27771.jpg?v=20250516,台東市,,886-988-327269
真欣渡假飯店,1820,1820,"No.17-19, Ln. 98, Sec. 2, Qinhe Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/4913.jpg?v=20250516,五結鄉,,886-3-9600899
艾蜜麗庭園別墅,1500,3500,"No.30, Ln. 412, Sec. 1, Zhihang Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/13735.jpg?v=20250516,台東市,http://emaly.travel123.tw/index.htm,886-89-357643
金毛屋,9000,10000,"No.1, Ln. 119, Yuguang Rd., Anping Dist., Tainan City 708, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/65519.jpg?v=20250516,安平區,http://www.maowu.tw,886-6-3912113
老爺大酒店,8800,58000,"37-1,Chung Shan North Road, Section 2, Taipei, Taiwan, R.O.C",https://taiwan.taiwanstay.net.tw/twpic/5633.jpg?v=20250516,中山區,http://www.royal-taipei.com.tw,886-2-25423266
東糖29民宿,3200,4800,"No.29, Dongtang St., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/162340.jpg?v=20250516,台東市,,886-89-226662
力歐時尚旅館西門館,800,3000,"2-4F., No.4-6, Aly. 36, Ln. 25, Kangding Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/1929.JPG?v=20250516,萬華區,http://www.liohotel.com.tw/,886-2-23889855
慧來農莊民宿,2500,8000,"No.2-1, Taomi Ln., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/12315.JPG?v=20250516,埔里鎮,,886-49-2918778
海次方民宿,4000,4000,"No.196, Fude,Yanliao Village, Shoufeng Township, Hualien County 974, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/20033.jpg?v=20250516,壽豐鄉,,886-3-8671388
承攜行旅台北台大館,13800,18800,"1-8F., No.98, Sec. 3, Roosevelt Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/31511.jpg?v=20250516,中正區,,886-2-23657367
123會館,7000,12000,"No.18, Gongyuan 1st Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",,五結鄉,,886-928-073502
九份觀海樓民宿,2500,2500,"No.183-1, Jishan St., Ruifang District, New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/267773.jpg?v=20250516,瑞芳區,https://newtaipei.travel/zh-tw/accommodation/detail/403835,886-2-24966123
親水89饗樂民宿,12000,16000,"No.89, Ln. 58, Sec. 2, Qinhe Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/77547.jpg?v=20250516,五結鄉,,886-988-286883
法頌休閒居,3000,6000,"No. 121, Sec. 2, Yongping Rd., Dongshan Township, Yilan County 269036, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/171062.jpg?v=20250516,五結鄉,,886-3-9580771
窩二樓小客棧民宿,2000,6000,"No.125, Guolian 1st Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.",https://taiwan.taiwanstay.net.tw/twpic/296452.jpg?v=20250516,花蓮市,,886-906-165765
嘟嘟好民宿,4500,6500,"No.22, Ln. 82, Luliao Rd., Luye Township, Taitung County 955, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/31927.jpg?v=20250516,鹿野鄉,http://dudu.yoyotaitung.com.tw/,886-933-371415
花蓮好書室民宿,4000,6200,"No.23, Ln. 33, Linzheng St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/1091.jpg?v=20250516,花蓮市,,886-930-106882
鈞怡大飯店,14700,28600,"No.10, Henan 2nd Rd., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/220298.jpg?v=20250516,前金區,,886-7-2821888
三又木民宿,2800,3600,"No.8, Ln. 91, Bo’ai Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",,台東市,,886-921-297545
台東四季民宿,4000,6000,"No.690, Sec. 1, Xing’an Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/4483.jpg?v=20250516,台東市,,886-910-580999
向日葵民宿,1900,2800,"No.12, Fuyang Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/296454.jpeg?v=20250516,花蓮市,,886-919-633704
漾之谷溫泉民宿,8800,8800,"No.151, Sec. 1, Zhongshan Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/7949.jpg?v=20250516,埔里鎮,http://rippling.com.tw/,886-975-288985
鴻瑞輕旅二館,5500,5500,"No.178, Fujian Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/261036.jpg?v=20250516,台東市,http://hrhotel.com.tw/,886-89-351999
貳館海景民宿,5000,8000,"No.38, Haibin St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/296455.jpg?v=20250516,花蓮市,,886-905-112298
湖景渡假民宿,3000,4800,"No.32, Dehua St., Riyue Village, Yuchi Township, Nantou County 555, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/20299.jpg?v=20250516,魚池鄉,http://www.lakeview.tw/,886-49-2850589
蘭舍民宿,2500,3900,"No.101, Jianxing Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/1661.JPG?v=20250516,台東市,,886-972-802225
淡夢之島,2800,3800,"No.12, Sanji Central Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",,五結鄉,http://www.neverland.com.tw,886-912-555551
十街民宿,2800,3900,"No.39, Guofu 10th St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/50414.JPG?v=20250516,花蓮市,,886-933-482237
小巷弄５號,3600,4600,"No.5, Aly. 1, Sec. 1, Qinhe Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",,五結鄉,,886-922-022255
佳美髮民宿,3000,4200,"No.11047, Gengsheng Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/4897.JPG?v=20250516,台東市,http://www.v8142.url.tw/info.html,886-89-226139
金瓜石101民宿,2800,6800,"No.101, Qitang Rd., Ruifang Dist., New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/267694.jpg?v=20250516,瑞芳區,http://www.golden101.com.tw/,886-932-363830
山城逸境,9500,12800,"No.195,197, Jishan St., Ruifang Dist., New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/267992.jpg?v=20250516,瑞芳區,,886-2-24969200
龍蝦先生的秘密巢穴,640,4400,"9F, No. 22, Sec.1, Chongqing N Rd, Datong Dist. Taipei City 108, Taiwan(R. O. C)",,大同區,,886-2-25558752
海田行館,7900,9900,"No.36, Ln. 27, Gongyuan 2nd Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/170354.jpeg?v=20250516,五結鄉,http://www.Hitenbnb.com,886-3-9507017
碧海青天民宿,3800,5800,"No.330 Hanyang N. Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/259902.jpg?v=20250516,台東市,,886-926-308726
小柚子民宿,2600,4200,"No.93-21, Zhaijiaoyu, Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-917-878008
澎緣民宿,2800,5600,"No.23-7, Ln. 138, Wufu Rd., Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-6-9279873
蘭天民宿,2980,4980,"No. 117, Jinshih 1st Rd., Yilan City, Yilan County 260007 , Taiwan (R.O.C.)",,宜蘭市,,886-3-9311260
松河璞旅,2600,13000,"1-8F., No. 112, Songhe St., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",,松山區,http://www.waterfronthotel.com.tw,886-2-25281567
覓海二館民宿,2000,4200,"No.590, Shiquan, Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-922-780005
漁家樂民宿,3500,3500,"No.102, Sanmin St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/10431.JPG?v=20250516,花蓮市,,886-3-8320646
知客商旅,6000,8800,"No.56, Ln. 33, Fuxing N. 3rd St., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)",,西屯區,,886-4-24517333
富玉莊旅社,1900,2500,"2-3F., No.8, Aly. 15, Ln. 149, Fugang St., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/82272.JPG?v=20250516,士林區,https://richzonehotel.wixsite.com/rich,886-2-28822308
多羅滿汽車旅館,1500,3700,"No.123, Guoxing 1st St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/98862.jpg?v=20250516,花蓮市,http://www.drmmotel.com.tw/,886-3-8316622
馬卡巴嗨文創,4500,6000,"No.517, Gengsheng Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/67924.JPG?v=20250516,台東市,https://www.google.com/search?q=%E9%A6%AC%E5%8D%A1%E5%B7%B4%E5%97%A8%E6%96%87%E5%89%B5%E6%B0%91%E5%AE%BF&amp;stick=H4sIAAAAAAAA_wFEALv_CAYiJTB4MzQ2ZmI5NmMzMjAxMGI2OToweDJhOTNjMzgzNTg0OGM5ZjSiBRjppqzljaHlt7Tll6jmloflibXmsJHlrr9dxuSPRAAAAA&amp;hl=zh-TW&amp;mat=CZ6X2fKp,886-963-820380
GOGO HOTEL,6000,8000,"No.138, Sichuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/7607.jpg?v=20250516,西屯區,,886-4-23693399
阿羅國際青年旅舍民宿,2200,2200,"No.58-3, Fuguo Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/34933.JPG?v=20250516,花蓮市,,886-988-223668
撒野旅店民宿,3600,4800,"No.26-60, Dongwei, Magong City, Penghu County 880, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/43462.jpg?v=20250516,馬公市,,886-6-9211533
好事學田民宿,4600,6600,"No.37, Ruifang St., Ruifang Dist., New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/266452.jpg?v=20250516,瑞芳區,,886-2-24960337
沐月心宿民宿,3300,4600,"No.11, Aly. 18, Ln. 412, Sec. 1, Zhihang Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/47030.jpg?v=20250516,台東市,,886-962-076733
芝山璞旅,5800,15000,"No.106, Fuguo Rd., Shihlin District, Taipei City 111, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/13487.jpg?v=20250516,士林區,,886-2-28332323
提拉米宿海景民宿,2180,4280,"No.256-1, Xiwei, Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-939-143787
桂林香波咖啡城堡民宿,2600,3600,"No.93, Guilin Vil., Gukeng Township, Yunlin County 646, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/283954.JPG?v=20250516,古坑鄉,,886-5-5901485
地久天長民宿,3800,5800,"No.348, Hanyang N. Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/259852.jpg?v=20250516,台東市,,886-926-308726
九份未眠者花園民宿,2880,5680,"No.78, Shipi Ln., Ruifang Dist., New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/6717.jpg?v=20250516,瑞芳區,,886-937-424811
士林町旅店,1680,4200,"No.26, Anping St., Shihlin District, Taipei City",https://taiwan.taiwanstay.net.tw/twpic/136741.PNG?v=20250516,士林區,,886-2-28813133
微古董,3000,4500,"No.32, Ln. 118, Fuhe 2nd Rd., Wujie Township, Yilan County 26866, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/257556.jpeg?v=20250516,五結鄉,,886-958-509536
甲穩民宿,3000,6500,"No. 21, Ln. 313, Xingsheng Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/80984.jpg?v=20250516,台東市,,886-89-239515
貓步民宿,3800,3800,"No.17, Hushan Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/269988.jpg?v=20250516,埔里鎮,,886-900-234528
海蒂的旅行箱民宿,5800,5800,"No.150, Zhongqiang St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/297549.jpg?v=20250516,花蓮市,https://lin.ee/evwFB2E,886-3-8326522
壹陸捌渡假民宿,5000,5000,"No.40-2, Sec. 3, Xi’an Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",,埔里鎮,,886-970-502941
玖拾捌民宿,3000,4500,"No.98, Guomin 8th St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/297552.webp?v=20250516,花蓮市,,886-912-522790
久窩行旅-逢甲館,5800,8500,"2-5F., No.43, Wenhua Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/76342.jpg?v=20250516,西屯區,http://www.khotel.tw/,886-4-24511701
康橋商旅-花蓮站前館,8800,17040,"No.101, Guolian 5th Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.)",,花蓮市,https://www.kindness-hotel.com.tw/location-hualien-hualienzhanchien,886-3-8359333
太魯閣蘇西小空間民宿,1100,1100,"No.20, Zhongzheng Rd., Xincheng Township, Hualien County 971, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/158822.jpg?v=20250516,新城鄉,,886-3-8611769
金多海民宿,2380,3380,"No.132-2, Wukan, Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,https://jinduohai.ego.tw/,886-983-595736
富豪群渡假民宿,6000,6000,"No.29-11, Shangzhi Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.)",,花蓮市,,886-3-8242103
海墘民宿,2100,2800,"No.28, Sanmin Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/4487.jpg?v=20250516,琉球鄉,,886-8-8614263
稻鄉海民宿,2800,5000,"No.12, Ln. 51, Sec. 3, Linhai Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/287947.jpg?v=20250516,台東市,https://twstay.com/RWD2/roomList.aspx?BNB=taoheungsea,886-925-097225
八番私人住宅,7100,8990,"No.8, Ln. 270, Zhongshan Rd., Yuchi Township, Nantou County 555, Taiwan (R.O.C.)",,魚池鄉,,886-49-2856756
阿樹國際旅店,10400,36000,"No.76, Sec. 3, Bade Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",,松山區,http://www.artreehotel.com.tw/,886-2-25787728
名仕旅舘,980,1580,"1-6F., No.242, Xinxing Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/268541.webp?v=20250516,中壢區,,886-3-4574533
福正民宿,2500,3200,"No.10, Fuzheng Vil., Juguang Township, Lienchiang County 211, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/79235.jpg?v=20250516,,,886-836-88213
天使之翼民宿,3800,6000,"No.31, Jianlin St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/297551.webp?v=20250516,花蓮市,,886-903-889395
餘光,9000,18000,"No. 8, Ln. 119, Yuguang Rd., Anping Dist., Tainan City 708, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/277235.jpg?v=20250516,安平區,https://www.facebook.com/yuguang1198/,886-900-628226
喔！我知道了民宿,6600,8800,"No.46, Fangli Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/282847.jpg?v=20250516,埔里鎮,,886-968-525611
簡單純民宿,2400,4800,"No.39, Aly. 17, Ln. 446, Anping Rd., Anping Dist., Tainan City 708, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/257588.JPG?v=20250516,安平區,https://simple-and-pure-house.webnode.tw/,886-6-2231885
埔里世外桃源民宿,2800,5800,"No.9-3, Taomi Ln., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/14645.jpg?v=20250516,埔里鎮,,886-49-2918002
筆令莊園民宿,4600,4600,"No.79, Ln. 971, Sec. 1, Zhihang Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/9125.jpg?v=20250516,台東市,,886-932-336410
金石大飯店,4680,7880,"No.32, Mingxing St., Xinxing Dist., Kaohsiung City 800, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/202749.jpg?v=20250516,新興區,http://www.milordhotels.com/,886-7-2887171
明品民宿,3200,4800,"No.10, Anhe Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/285933.png?v=20250516,卑南鄉,,886-936-360456
花漾四季民宿,3500,5000,"No.82-3, Xingang St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/28459.jpg?v=20250516,花蓮市,http://house.netete.com/bnb/flower4.htm,886-917-261713
晶華酒店,16000,180000,"No.3, Ln. 39, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/117593.jpg?v=20250516,中山區,http://www.regenttaiwan.com,886-2-25238000
娜路彎銀河行館,9600,10600,"No.88, Feng Xing Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/186348.jpg?v=20250516,台東市,,886-89-225000
櫻花民宿,3500,8000,"No.55, Bo’ai Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/290877.jpg?v=20250516,台東市,,886-987-809025
日安艸木公寓民宿,1200,2400,"No.7, Ln. 38, Wenshan Rd Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/286400.jpeg?v=20250516,台東市,,886-912-052923
慢活民宿,4500,6000,"No.223-2, Xiwei, Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-913-529293
雀客旅館台北信義,22800,33800,"3-13F., No.468, Sec. 4, Xinyi Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/44584.jpg?v=20250516,信義區,https://xinyi-checkinn.hexa.tw/,886-2-23459777
托斯卡尼民宿,4500,5000,"No.169, Sec. 1, Xing’an Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/7697.jpg?v=20250516,台東市,,886-978-003121
涵煙民宿,4800,8000,"No.21, Wenhua Ln., Yuchi Township, Nantou County 555, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/284300.jpg?v=20250516,魚池鄉,,886-49-2899215
怡靜民宿,3500,4800,"No.5, Aly. 6, Ln. 33, Dongtang St., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/45784.jpg?v=20250516,台東市,,886-89-238773
新榮大旅社,1200,1700,"No.116, Wunlin Rd., Shihlin District, Taipei City",,士林區,,886-2-28812531
小琉球船屋特色民宿,3800,6000,"No.224, Zhongshan Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/2513.jpg?v=20250516,琉球鄉,,886-8-8612239
金瓜石藝棧景觀渡假別墅民宿,12000,14000,"No.2, Shanjian Rd., Ruifang District, New Taipei City 224, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/6707.jpg?v=20250516,瑞芳區,http://www.formosavilla.com.tw,886-2-24961010
旅居澎湖沿菊文旅,2200,6800,"No.36, Huimin Rd., Magong City, Penghu County 880, Taiwan (R.O.C.)",,馬公市,,886-6-9276257
綠屋民宿,2200,2800,"No.6, Zhonggua Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/20809.JPG?v=20250516,埔里鎮,,886-49-2916829
金宿,3000,3000,"No. 1, Siwei Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/292057.jpeg?v=20250516,埔里鎮,,886-911-103955
遇見快樂民宿,4000,10000,"No.16, Aly. 22, Ln. 503, Xinsheng Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/21479.jpg?v=20250516,台東市,,886-937-640366
賓士旅館,6880,10800,"1-4F,No.256、258, Xinxing Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/123428.jpg?v=20250516,中壢區,,886-3-4595466
麓司岸民宿,4600,4680,"No.19-16,Dayan Ln.,Yuchi Township, Nantou County 555,Taiwan(R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/284367.png?v=20250516,魚池鄉,http://www.lusihan.com.tw/,886-982-726451
